REGULAR RARES AND REGULAR MYTHIC RARES PRICES

To search for a card type control+f
Bot accounts: pisiiki3, supernova01, bifidus, ComparePrices, tina16, mteamtester, supernova02, pisiiki2

Name                                               Buy       Sell      Bot Account[Stock Available]
Firestorm Hellkite [VI]                            0.022
Suleiman's Legacy [VI]                             0.022
Forbidden Ritual [VI]                              0.024
Diamond Kaleidoscope [VI]                          0.024     0.046     tina16[3] bifidus[1] pisiiki2[1] supernova02[1]
Three Wishes [VI]                                  0.026
Wand of Denial [VI]                                0.028     0.052     tina16[1]
Pillar Tombs of Aku [VI]                           0.028     0.054     pisiiki2[1]
Viashivan Dragon [VI]                              0.032     0.06      mteamtester[1] bifidus[1]
Lightning Cloud [VI]                               0.032
Rowen [VI]                                         0.034     0.062     pisiiki3[1]
Necrosavant [VI]                                   0.036     0.068     pisiiki3[1]
Ogre Enforcer [VI]                                 0.038     0.07      supernova01[2]
Guiding Spirit [VI]                                0.042     0.076     tina16[1]
Aku Djinn [VI]                                     0.044     0.08      pisiiki3[1] tina16[3]
Kaervek's Spite [VI]                               0.046
Eye of Singularity [VI]                            0.048     0.086     bifidus[1]
Griffin Canyon [VI]                                0.068     0.115     pisiiki3[1] ComparePrices[2]
Equipoise [VI]                                     0.088     0.12      tina16[1] supernova02[2] bifidus[1]
Breathstealer's Crypt [VI]                         0.11      0.15      bifidus[2] ComparePrices[1] pisiiki2[1] supernova01[1]
Archangel [VI]                                     0.11
Righteous War [VI]                                 0.11      0.155     tina16[1]
Sands of Time [VI]                                 0.14      0.19      supernova02[1] mteamtester[1]
Pygmy Hippo [VI]                                   0.145     0.2       bifidus[1]
Retribution of the Meek [VI]                       0.25      0.33      pisiiki2[3]
Snake Basket [VI]                                  0.36      0.48      pisiiki2[1]
Squandered Resources [VI]                          0.36      0.48      bifidus[1] supernova01[1]
Teferi's Puzzle Box [VI]                           0.39      0.52      supernova02[4]
Phyrexian Marauder [VI]                            0.4
Chronatog [VI]                                     0.48      0.64      pisiiki3[2] pisiiki2[1] tina16[1]
Femeref Enchantress [VI]                           0.74      0.98      pisiiki3[1] tina16[1]
City of Solitude [VI]                              1.25
Desertion [VI]                                     3.45
Tithe [VI]                                         3.55      4.15      tina16[1] pisiiki2[1]
Anvil of Bogardan [VI]                             6.1
Undiscovered Paradise [VI]                         15.9
Natural Order [VI]                                 22.5      26        ComparePrices[2]
Vampiric Tutor [VI]                                29

=== Weatherlight === [Total Buy/Sell Value: 55/67] ===============================================================================================

Dwarven Thaumaturgist [WL]                         0.016     0.032     supernova01[1]
Morinfen [WL]                                      0.018     0.038     pisiiki3[1] bifidus[1]
Avizoa [WL]                                        0.02
Ertai's Familiar [WL]                              0.02      0.04      tina16[1] ComparePrices[1]
Tolarian Serpent [WL]                              0.022     0.042     ComparePrices[1]
Fungus Elemental [WL]                              0.022     0.044     tina16[1]
Thran Tome [WL]                                    0.022     0.044     pisiiki3[1]
Nature's Resurgence [WL]                           0.024
Wave of Terror [WL]                                0.026     0.05      supernova02[1]
Alabaster Dragon [WL]                              0.028
Aboroth [WL]                                       0.028
Mwonvuli Ooze [WL]                                 0.03      0.056     supernova01[1]
Urborg Stalker [WL]                                0.03
Gallowbraid [WL]                                   0.032
Xanthic Statue [WL]                                0.036
Inner Sanctum [WL]                                 0.036     0.066     supernova01[1] pisiiki3[1]
Maraxus of Keld [WL]                               0.036     0.068     supernova02[1]
Southern Paladin [WL]                              0.042
Heart of Bogardan [WL]                             0.042     0.078     mteamtester[1]
Thundermare [WL]                                   0.044
Bosium Strip [WL]                                  0.048
Heat Stroke [WL]                                   0.05      0.09      pisiiki3[1] pisiiki2[1] mteamtester[1]
Call of the Wild [WL]                              0.07      0.12      supernova01[1]
Psychic Vortex [WL]                                0.072
Paradigm Shift [WL]                                0.094
Bubble Matrix [WL]                                 0.096     0.13      tina16[1] supernova02[1] mteamtester[1] pisiiki3[1] bifidus[2]
Liege of the Hollows [WL]                          0.105     0.145     supernova01[1]
Tariff [WL]                                        0.11      0.15      mteamtester[1]
Well of Knowledge [WL]                             0.13      0.175     pisiiki2[1]
Infernal Tribute [WL]                              0.165
Dense Foliage [WL]                                 0.17      0.23      bifidus[1] supernova01[1]
Tolarian Entrancer [WL]                            0.175     0.23      supernova01[1] mteamtester[1]
Tranquil Grove [WL]                                0.2
Urborg Justice [WL]                                0.23
Ancestral Knowledge [WL]                           0.25      0.34      supernova01[1] bifidus[1]
Fervor [WL]                                        0.29      0.39      ComparePrices[1]
Debt of Loyalty [WL]                               0.3
Pendrell Mists [WL]                                0.5       0.66      tina16[1] ComparePrices[1]
Bone Dancer [WL]                                   0.72      0.96      tina16[1] mteamtester[1]
Peacekeeper [WL]                                   1.45      1.85      supernova02[4]
Scorched Ruins [WL]                                1.55
Abeyance [WL]                                      2.25
Goblin Bomb [WL]                                   2.45
Mana Web [WL]                                      2.55      3.05      bifidus[1]
Lotus Vale [WL]                                    2.8
Winding Canyons [WL]                               4.1
Serenity [WL]                                      4.45
Firestorm [WL]                                     4.95      6.1       supernova02[1] pisiiki3[1]
Doomsday [WL]                                      6.5       7.95      supernova02[1]
Null Rod [WL]                                      18.3      21        pisiiki2[1]

=== Invasion === [Total Buy/Sell Value: 47/59] ===================================================================================================

Stalking Assassin [IN]                                       0.022     mteamtester[3] bifidus[4]
Saproling Infestation [IN]                         0.012     0.028     mteamtester[2]
Thicket Elemental [IN]                             0.014     0.03      bifidus[1] ComparePrices[2] supernova02[1] supernova01[2]
Reckless Assault [IN]                                        0.03      mteamtester[4] tina16[1] ComparePrices[1] supernova01[1] bifidus[1]
Fight or Flight [IN]                               0.014     0.03      bifidus[2] tina16[4]
Phyrexian Lens [IN]                                          0.03      mteamtester[4] tina16[1]
Temporal Distortion [IN]                                     0.03      pisiiki2[1] ComparePrices[1] tina16[2] pisiiki3[1] mteamtester[3]
Juntu Stakes [IN]                                  0.014     0.032     supernova02[1] tina16[1] bifidus[1] mteamtester[3]
Loafing Giant [IN]                                 0.014     0.032     bifidus[4] mteamtester[2]
Ghitu Fire [IN]                                              0.032     tina16[1] supernova02[1] mteamtester[4] pisiiki3[1]
Pure Reflection [IN]                               0.016     0.032     supernova01[2] bifidus[3]
Global Ruin [IN]                                   0.016     0.032     ComparePrices[1] bifidus[3]
Stand or Fall [IN]                                 0.016     0.032     supernova01[2] mteamtester[2] tina16[1]
Sapphire Leech [IN]                                          0.034     tina16[1] bifidus[2] mteamtester[2] supernova02[2] pisiiki2[1]
Well-Laid Plans [IN]                               0.016     0.034     supernova02[1] pisiiki2[1] tina16[2]
Stormscape Master [IN]                                       0.036     supernova02[1] mteamtester[2] pisiiki3[1] supernova01[1] pisiiki2[1] tina16[2]
Thornscape Master [IN]                                       0.036     tina16[2] bifidus[2] supernova01[3] ComparePrices[1]
Phyrexian Infiltrator [IN]                         0.018     0.038     pisiiki3[3] mteamtester[1]
Ruby Leech [IN]                                    0.018     0.038     ComparePrices[1] tina16[3]
Meteor Storm [IN]                                            0.038     pisiiki3[1] mteamtester[2] supernova01[2] ComparePrices[2]
Jade Leech [IN]                                              0.038     supernova02[1] pisiiki2[1] pisiiki3[2] mteamtester[1] tina16[3]
Mages' Contest [IN]                                          0.038     mteamtester[1] ComparePrices[1] tina16[3] bifidus[3]
Winnow [IN]                                        0.02      0.038     mteamtester[1] supernova02[2] supernova01[3]
Psychic Battle [IN]                                          0.04      bifidus[4] tina16[1] ComparePrices[1]
Coalition Victory [IN]                             0.02      0.04      supernova01[2] bifidus[2] pisiiki2[1]
Death or Glory [IN]                                          0.042     pisiiki2[1] tina16[3] pisiiki3[3] supernova01[1]
Divine Presence [IN]                               0.022     0.042     supernova02[1] pisiiki2[1] bifidus[2]
Alabaster Leech [IN]                               0.022     0.044     bifidus[4] ComparePrices[1]
Harsh Judgment [IN]                                0.022     0.044     supernova01[1] tina16[1]
Thunderscape Master [IN]                           0.024     0.046     supernova01[1] mteamtester[4] ComparePrices[1]
Lotus Guardian [IN]                                          0.048     mteamtester[1] bifidus[3] pisiiki3[1] tina16[2] ComparePrices[1]
Andradite Leech [IN]                               0.028     0.052     tina16[3]
Devouring Strossus [IN]                            0.03      0.056     supernova02[1] bifidus[1] pisiiki2[1] ComparePrices[3]
Crystal Spray [IN]                                 0.03      0.056     pisiiki2[1] bifidus[4]
Tek [IN]                                           0.03      0.056     bifidus[4] pisiiki2[1] ComparePrices[1]
Metathran Aerostat [IN]                            0.03      0.056     pisiiki2[1] supernova01[2] tina16[2] mteamtester[1]
Armored Guardian [IN]                              0.03      0.058     supernova02[1] ComparePrices[1] bifidus[1] mteamtester[2]
Callous Giant [IN]                                 0.032     0.058     pisiiki2[1] bifidus[1]
Bend or Break [IN]                                           0.06      supernova02[1] pisiiki2[1] pisiiki3[1] mteamtester[1] supernova01[1] ComparePrices[2]
Breaking Wave [IN]                                 0.036     0.066     mteamtester[4]
Blind Seer [IN]                                    0.038
Raging Kavu [IN]                                   0.04      0.072     pisiiki3[3] pisiiki2[1] mteamtester[1]
Collapsing Borders [IN]                            0.042     0.078     supernova01[1] pisiiki2[1] bifidus[1] supernova02[1] ComparePrices[2]
Spinal Embrace [IN]                                0.044
Yawgmoth's Agenda [IN]                             0.044     0.082     pisiiki2[2]
Crypt Angel [IN]                                   0.048     0.086     ComparePrices[2]
Keldon Necropolis [IN]                             0.05      0.09      ComparePrices[1] tina16[1] mteamtester[1] supernova02[1]
Sunscape Master [IN]                               0.05      0.092     ComparePrices[1] pisiiki2[2]
Noble Panther [IN]                                 0.054     0.096     pisiiki2[1]
Kavu Lair [IN]                                     0.054     0.098     tina16[1] pisiiki3[1] mteamtester[2]
Distorting Wake [IN]                               0.058     0.1       pisiiki2[1] supernova02[1] tina16[2] bifidus[1]
Desperate Research [IN]                            0.068     0.115     pisiiki2[2] bifidus[2]
Nightscape Master [IN]                             0.07      0.12      bifidus[1] pisiiki3[2] supernova02[1] supernova01[1] mteamtester[1]
Tsabo's Decree [IN]                                0.072     0.115     bifidus[1] pisiiki2[2] supernova02[1]
Teferi's Moat [IN]                                 0.088     0.12      supernova02[1]
Mana Maze [IN]                                     0.092     0.125     supernova01[1] pisiiki2[1] mteamtester[1]
Atalya, Samite Master [IN]                         0.105     0.145     pisiiki2[1]
Æther Rift [IN]                                    0.105     0.145     mteamtester[1]
Phyrexian Delver [IN]                              0.115     0.16      supernova01[1]
Barrin's Spite [IN]                                0.115
Sabertooth Nishoba [IN]                            0.12      0.165     supernova01[1]
Molimo, Maro-Sorcerer [IN]                         0.125     0.17      mteamtester[1] bifidus[1]
Tectonic Instability [IN]                          0.135     0.185     supernova01[1] supernova02[1] pisiiki3[1] bifidus[1]
Tsabo's Assassin [IN]                              0.135     0.185     bifidus[1] pisiiki2[3] ComparePrices[1]
Kavu Monarch [IN]                                  0.155     0.21      ComparePrices[1] tina16[1] supernova01[1]
Tsabo Tavoc [IN]                                   0.155
Overabundance [IN]                                 0.17      0.23      ComparePrices[1]
Bind [IN]                                          0.175     0.24      mteamtester[1] ComparePrices[1] supernova02[4]
Blurred Mongoose [IN]                              0.18      0.24      mteamtester[2] supernova01[1]
Darigaaz, the Igniter [IN]                         0.19
Marauding Knight [IN]                              0.19
Verdeloth the Ancient [IN]                         0.21      0.28      mteamtester[1] supernova01[1] ComparePrices[1] supernova02[2]
Void [IN]                                          0.21
Elvish Champion [IN]                               0.22
Kavu Titan [IN]                                    0.22      0.3       mteamtester[2] supernova01[1] supernova02[1]
Skizzik [IN]                                       0.23
Tsabo's Web [IN]                                   0.23
Vile Consumption [IN]                              0.24      0.32      pisiiki2[1]
Spreading Plague [IN]                              0.32      0.42      mteamtester[1] bifidus[1]
Teferi's Response [IN]                             0.33
Obliterate [IN]                                    0.35
Urza's Filter [IN]                                 0.36      0.48      supernova01[1]
Rith, the Awakener [IN]                            0.37
Pyre Zombie [IN]                                   0.39      0.52      tina16[1] bifidus[1]
Treva, the Renewer [IN]                            0.42      0.56      mteamtester[1]
Utopia Tree [IN]                                   0.42      0.58      mteamtester[2]
Restock [IN]                                       0.5       0.68      bifidus[3]
Blazing Specter [IN]                               0.52      0.7       bifidus[2] pisiiki3[2]
Urza's Rage [IN]                                   0.62      0.82      bifidus[1] supernova02[1]
Spirit of Resistance [IN]                          0.62      0.84      pisiiki3[1]
Kangee, Aerie Keeper [IN]                          0.64      0.86      supernova02[1] supernova01[2]
Crusading Knight [IN]                              0.68
Crosis, the Purger [IN]                            0.8       1.05      pisiiki2[1] supernova02[1]
Do or Die [IN]                                     0.84
Twilight's Call [IN]                               0.84      1.1       mteamtester[1] pisiiki2[1]
Planar Portal [IN]                                 0.92
Dromar, the Banisher [IN]                          1         1.25      ComparePrices[1] pisiiki2[1] supernova02[2]
Reya Dawnbringer [IN]                              1.05      1.3       supernova01[1] tina16[1] mteamtester[2]
Empress Galina [IN]                                1.2       1.5       supernova02[1] supernova01[1] tina16[2]
Rout [IN]                                          1.6
Dueling Grounds [IN]                               1.8
Aura Mutation [IN]                                 2.05      2.4       supernova02[1]
Saproling Symbiosis [IN]                           2.3       2.7       supernova01[1]
Undermine [IN]                                     2.55
Artifact Mutation [IN]                             2.7
Phyrexian Altar [IN]                               2.85
Absorb [IN]                                        3
Hanna, Ship's Navigator [IN]                       3.2       3.75      mteamtester[2] pisiiki2[1]
Captain Sisay [IN]                                 3.25      3.85      mteamtester[1]
Collective Restraint [IN]                          3.55      4.2       supernova01[1] tina16[1]

=== Planeshift === [Total Buy/Sell Value: 15/19] =================================================================================================

Dominaria's Judgment [PS]                          0.01      0.024     pisiiki2[2]
Planar Overlay [PS]                                0.01      0.024     mteamtester[4]
Goblin Game [PS]                                   0.012     0.028     bifidus[1] ComparePrices[1] supernova01[2] tina16[1]
Planeswalker's Fury [PS]                           0.016     0.034     supernova01[2] pisiiki2[1]
Questing Phelddagrif [PS]                          0.016     0.034     supernova02[1] ComparePrices[3] mteamtester[1]
Ancient Spider [PS]                                0.018     0.038     pisiiki2[1] pisiiki3[1]
Planeswalker's Mischief [PS]                       0.018     0.038     bifidus[1] pisiiki2[3]
Phyrexian Scuta [PS]                               0.02      0.042     tina16[2] pisiiki3[2]
Waterspout Elemental [PS]                          0.022     0.042     tina16[1] pisiiki2[3] ComparePrices[1] supernova02[1]
Radiant Kavu [PS]                                  0.022     0.042     pisiiki2[1] bifidus[1] tina16[1]
Natural Emergence [PS]                             0.022
Deadapult [PS]                                     0.024     0.046     pisiiki2[1] pisiiki3[1] tina16[1]
Planeswalker's Mirth [PS]                          0.02      0.04      pisiiki2[2]
Samite Elder [PS]                                  0.024     0.046     mteamtester[1] supernova01[2]
Dralnu's Pet [PS]                                  0.024     0.046     ComparePrices[1] pisiiki2[2]
Keldon Twilight [PS]                               0.028     0.052     mteamtester[4] tina16[1]
Magnigoth Treefolk [PS]                            0.028     0.054     ComparePrices[1] supernova02[3]
Mogg Sentry [PS]                                   0.028     0.056     pisiiki2[1] tina16[1]
Sunken Hope [PS]                                   0.04      0.074     supernova02[1]
Planeswalker's Favor [PS]                          0.04
Planeswalker's Scorn [PS]                          0.046     0.082     pisiiki2[1] tina16[1] pisiiki3[2] bifidus[1]
Ertai, the Corrupted [PS]                          0.046     0.084     tina16[2]
Gaea's Herald [PS]                                 0.052     0.094     pisiiki3[1] tina16[1]
Dark Suspicions [PS]                               0.056     0.098     ComparePrices[1]
Cloud Cover [PS]                                   0.064     0.115     bifidus[2] tina16[1] supernova02[1]
Tahngarth, Talruum Hero [PS]                       0.07      0.12      pisiiki2[2] supernova01[2]
Urza's Guilt [PS]                                  0.11      0.155     supernova01[1] pisiiki2[3]
Phyrexian Tyranny [PS]                             0.12      0.165     bifidus[2] supernova02[1] mteamtester[1]
March of Souls [PS]                                0.135
Skyship Weatherlight [PS]                          0.155
Dralnu's Crusade [PS]                              0.165     0.22      pisiiki3[1]
Destructive Flow [PS]                              0.175     0.24      bifidus[1] tina16[1]
Shivan Wurm [PS]                                   0.24      0.32      mteamtester[1] pisiiki2[1]
Quirion Dryad [PS]                                           0.38      bifidus[1] supernova01[1] pisiiki2[2] ComparePrices[1] pisiiki3[2]
Doomsday Specter [PS]                              0.31      0.4       pisiiki3[1] mteamtester[1]
Meteor Crater [PS]                                 0.31      0.42      mteamtester[1]
Draco [PS]                                         0.32      0.44      mteamtester[1]
Forsaken City [PS]                                 0.38      0.5       bifidus[1] ComparePrices[1]
Nemata, Grove Guardian [PS]                        0.4
Lord of the Undead [PS]                            0.78      1         pisiiki2[1]
Meddling Mage [PS]                                 1.35      1.7       supernova01[1]
Diabolic Intent [PS]                               2.45
Eladamri's Call [PS]                               2.7
Orim's Chant [PS]                                  4.4       5.45      mteamtester[1]

=== Apocalypse === [Total Buy/Sell Value: 57/66] =================================================================================================

Symbiotic Deployment [AP]                          0.01      0.022     supernova01[3]
Fervent Charge [AP]                                0.012     0.026     tina16[2] ComparePrices[1] pisiiki2[1]
Degavolver [AP]                                    0.012     0.028     bifidus[1] pisiiki2[4] tina16[1]
Anavolver [AP]                                               0.03      supernova02[4] tina16[1] pisiiki2[1] ComparePrices[1] bifidus[1]
Bloodfire Colossus [AP]                            0.014     0.032     pisiiki2[2]
Kavu Mauler [AP]                                   0.016     0.032     pisiiki2[2]
Powerstone Minefield [AP]                          0.018     0.036     pisiiki3[1] bifidus[3]
Whirlpool Warrior [AP]                             0.018     0.036     tina16[2]
Ice Cave [AP]                                      0.02      0.04      pisiiki2[3] supernova01[1]
Cetavolver [AP]                                    0.02      0.042     supernova01[2] bifidus[2] supernova02[2]
Gerrard Capashen [AP]                              0.02      0.042     pisiiki3[1] bifidus[1]
Goblin Trenches [AP]                               0.022     0.044     pisiiki3[1] supernova02[2]
False Dawn [AP]                                    0.024     0.046     pisiiki3[1] pisiiki2[1] mteamtester[1]
Overgrown Estate [AP]                              0.024     0.046     mteamtester[1]
Yavimaya's Embrace [AP]                            0.024     0.048     pisiiki2[4]
Necravolver [AP]                                   0.03
Desolation Giant [AP]                              0.032     0.06      tina16[3]
Suffocating Blast [AP]                             0.034
Planar Despair [AP]                                0.034     0.064     mteamtester[1] ComparePrices[1] pisiiki2[1] bifidus[1]
Fungal Shambler [AP]                               0.036     0.068     supernova02[1]
Mask of Intolerance [AP]                           0.038     0.07      mteamtester[1] bifidus[2]
Rakavolver [AP]                                    0.046
Penumbra Wurm [AP]                                 0.054
Wild Research [AP]                                 0.058
Last Stand [AP]                                    0.06      0.105     supernova02[1] mteamtester[1] pisiiki3[1] pisiiki2[2] bifidus[1]
Spectral Lynx [AP]                                 0.066     0.115     supernova02[1]
Unnatural Selection [AP]                           0.092     0.125     supernova02[1] mteamtester[1]
Legacy Weapon [AP]                                 0.11
Desolation Angel [AP]                              0.125     0.175     pisiiki3[1]
Death Grasp [AP]                                   0.13      0.18      pisiiki2[3] ComparePrices[1] mteamtester[1]
Lightning Angel [AP]                               0.13
Prophetic Bolt [AP]                                0.165
Cromat [AP]                                        0.19      0.25      ComparePrices[1] bifidus[1]
Battlefield Forge [AP]                             0.24      0.32      tina16[1] pisiiki3[1]
Guided Passage [AP]                                0.3
Yavimaya Coast [AP]                                0.38      0.5       supernova01[1]
Mystic Snake [AP]                                  0.44      0.58      supernova01[2] supernova02[1] tina16[2]
Caves of Koilos [AP]                               0.56
Spiritmonger [AP]                                  0.6       0.8       pisiiki2[1] bifidus[1] tina16[2]
Llanowar Wastes [AP]                               0.64      0.84      pisiiki2[1]
Shivan Reef [AP]                                   1.7
Phyrexian Arena [AP]                               2.55      3.05      tina16[4]
Pernicious Deed [AP]                               19.2
Vindicate [AP]                                     29.5      32.75     mteamtester[2]

=== Odyssey === [Total Buy/Sell Value: 86/106] ===================================================================================================

Cursed Monstrosity [OD]                                      0.022     ComparePrices[4]
Nantuko Mentor [OD]                                0.01      0.024     supernova02[1]
Zoologist [OD]                                     0.01      0.024     ComparePrices[4]
Hint of Insanity [OD]                              0.01      0.026     ComparePrices[2]
Ashen Firebeast [OD]                                         0.028     ComparePrices[1] tina16[1] mteamtester[4] supernova02[1]
Pardic Miner [OD]                                  0.014     0.03      mteamtester[1] supernova02[2] tina16[3]
Need for Speed [OD]                                          0.03      ComparePrices[1] mteamtester[4] pisiiki3[1] supernova02[1]
Dwarven Shrine [OD]                                          0.03      ComparePrices[1] mteamtester[4] supernova01[1] tina16[1]
Aven Shrine [OD]                                             0.03      bifidus[1] pisiiki3[2] supernova01[1] pisiiki2[1] tina16[1] supernova02[2]
Tombfire [OD]                                      0.016     0.034     ComparePrices[4]
Earnest Fellowship [OD]                                      0.034     bifidus[1] mteamtester[4] ComparePrices[1] supernova02[1]
Cephalid Shrine [OD]                               0.016     0.034     ComparePrices[2] supernova01[2]
Savage Firecat [OD]                                          0.036     supernova01[2] mteamtester[1] ComparePrices[1] pisiiki3[1] supernova02[1] tina16[2]
Traveling Plague [OD]                              0.018     0.036     ComparePrices[1] tina16[1]
Obstinate Familiar [OD]                            0.018     0.038     mteamtester[3]
Stalking Bloodsucker [OD]                                    0.038     pisiiki3[1] pisiiki2[1] bifidus[2] mteamtester[1] ComparePrices[1] tina16[2]
Cognivore [OD]                                     0.02      0.04      supernova02[1]
Stone-Tongue Basilisk [OD]                         0.02      0.04      pisiiki3[1]
Pianna, Nomad Captain [OD]                         0.02      0.04      pisiiki3[1] ComparePrices[1]
Cabal Patriarch [OD]                               0.02      0.04      pisiiki3[1]
Mystic Crusader [OD]                               0.02      0.04      mteamtester[1] bifidus[1] pisiiki2[1]
Wayward Angel [OD]                                           0.04      supernova02[2] supernova01[2] mteamtester[2] pisiiki3[2]
Shifty Doppelganger [OD]                           0.02      0.04      pisiiki2[3]
Cantivore [OD]                                               0.04      supernova02[2] mteamtester[2] supernova01[2] pisiiki3[2]
Volley of Boulders [OD]                            0.02      0.042     pisiiki3[4]
Amugaba [OD]                                       0.022     0.042     bifidus[1] pisiiki3[1] mteamtester[4]
Seize the Day [OD]                                 0.022     0.044     ComparePrices[1] mteamtester[1] bifidus[2]
Pedantic Learning [OD]                             0.024     0.046     pisiiki2[1]
Unifying Theory [OD]                               0.024     0.046     supernova01[2]
Bloodcurdler [OD]                                  0.024
Thought Devourer [OD]                              0.026
Holistic Wisdom [OD]                               0.028     0.052     bifidus[1]
Aboshan, Cephalid Emperor [OD]                     0.028     0.052     tina16[1] bifidus[2] pisiiki3[1] ComparePrices[1] mteamtester[1]
Decaying Soil [OD]                                 0.03      0.058     tina16[1] supernova01[3]
Dogged Hunter [OD]                                 0.036     0.066     tina16[2]
Graceful Antelope [OD]                             0.032     0.058     mteamtester[3]
Cephalid Retainer [OD]                             0.036     0.068     pisiiki2[1]
Otarian Juggernaut [OD]                            0.032     0.06      pisiiki2[1]
Seton, Krosan Protector [OD]                       0.032
Charmed Pendant [OD]                               0.034     0.062     pisiiki2[1]
Ancestral Tribute [OD]                             0.034     0.062     supernova01[1] mteamtester[1] pisiiki2[1] tina16[1] bifidus[2]
Junk Golem [OD]                                    0.036     0.068     ComparePrices[1] tina16[1]
Mudhole [OD]                                       0.038     0.072     bifidus[2] ComparePrices[1]
Spellbane Centaur [OD]                             0.04      0.072     pisiiki3[2] pisiiki2[1]
Cabal Shrine [OD]                                  0.04      0.074     pisiiki3[1]
Bearscape [OD]                                     0.042     0.076     ComparePrices[2] pisiiki2[1]
Atogatog [OD]                                      0.044
Epicenter [OD]                                     0.044     0.078     tina16[1] pisiiki2[1] bifidus[1]
Burning Sands [OD]                                 0.058
Nefarious Lich [OD]                                0.06      0.105     tina16[1]
Mystic Enforcer [OD]                               0.06      0.105     pisiiki3[2] bifidus[2]
Repentant Vampire [OD]                             0.064     0.11      pisiiki2[1] supernova01[1] bifidus[1]
Delaying Shield [OD]                               0.066     0.115     pisiiki3[1] bifidus[1]
Bomb Squad [OD]                                              0.12      ComparePrices[3] pisiiki2[3] supernova01[1]
Ivy Elemental [OD]                                 0.07
Molten Influence [OD]                              0.09      0.125     ComparePrices[1] supernova02[2]
Impulsive Maneuvers [OD]                           0.09      0.125     supernova01[3] tina16[1]
Cultural Exchange [OD]                             0.096     0.13      pisiiki3[1]
Persuasion [OD]                                    0.1       0.14      supernova01[1]
Kamahl, Pit Fighter [OD]                           0.13      0.18      supernova02[2]
Battle of Wits [OD]                                0.135     0.185     supernova01[1] supernova02[2]
Mortivore [OD]                                     0.135
Traumatize [OD]                                    0.145     0.195     ComparePrices[1]
Catalyst Stone [OD]                                0.145
Verdant Succession [OD]                            0.145
Balancing Act [OD]                                 0.16      0.22      mteamtester[1]
Divine Sacrament [OD]                              0.17
Lieutenant Kirtar [OD]                             0.185     0.25      ComparePrices[1]
Shadowmage Infiltrator [OD]                        0.19
Master Apothecary [OD]                             0.195     0.26      bifidus[2]
Call of the Herd [OD]                              0.2       0.27      supernova02[1] ComparePrices[1]
Tainted Pact [OD]                                  0.21
Mirari [OD]                                        0.22      0.3       bifidus[3]
Mindslicer [OD]                                    0.23      0.31      pisiiki3[1] ComparePrices[3] bifidus[1]
Nantuko Shrine [OD]                                0.23
Devoted Caretaker [OD]                             0.25
Mine Layer [OD]                                    0.28      0.38      mteamtester[1] tina16[1]
Magnivore [OD]                                     0.28      0.38      supernova02[1]
Haunting Echoes [OD]                               0.3       0.4       bifidus[1]
Chlorophant [OD]                                   0.34      0.44      supernova01[1] supernova02[1]
Skycloud Expanse [OD]                              0.38
Iridescent Angel [OD]                              0.62
Mossfire Valley [OD]                               0.62      0.82      pisiiki2[1]
Shadowblood Ridge [OD]                             0.64      0.86      pisiiki3[1] bifidus[1]
Sungrass Prairie [OD]                              0.64      0.86      tina16[1]
Aegis of Honor [OD]                                0.8       1.05      ComparePrices[1]
Kirtar's Wrath [OD]                                0.8       1.05      tina16[1]
Time Stretch [OD]                                  0.8       1.05      pisiiki2[1] mteamtester[1] supernova01[1]
Krosan Beast [OD]                                  0.8
Extract [OD]                                       0.94
Vampiric Dragon [OD]                               0.96
Darkwater Catacombs [OD]                           1.15
New Frontiers [OD]                                 1.15      1.45      tina16[1]
Tarnished Citadel [OD]                             1.65      2.05      supernova02[3] bifidus[2]
Upheaval [OD]                                      1.7       2.15      tina16[1] supernova01[1] pisiiki3[1]
Gravestorm [OD]                                    1.8       2.15      pisiiki3[2]
Braids, Cabal Minion [OD]                          1.95
Chance Encounter [OD]                              2.4
Divert [OD]                                        2.5       2.95      ComparePrices[2] tina16[1]
Terravore [OD]                                     2.95      3.45      bifidus[1]
Crystal Quarry [OD]                                3.05      3.6       pisiiki2[1]
Decimate [OD]                                      3.1       3.7       pisiiki2[2]
Nut Collector [OD]                                 3.1
Petrified Field [OD]                               3.65
Ground Seal [OD]                                   4.65      5.75      mteamtester[1] supernova02[1]
Squirrel Mob [OD]                                  4.7       5.75      ComparePrices[1]
Patron Wizard [OD]                                 5.1
Deserted Temple [OD]                               5.9       7.25      pisiiki3[1] tina16[1]
Karmic Justice [OD]                                7.3       8.95      tina16[1]
Entomb [OD]                                        14.9

=== Torment === [Total Buy/Sell Value: 16/21] ====================================================================================================

Cephalid Vandal [TOR]                              0.014     0.03      pisiiki3[1] supernova02[2]
Turbulent Dreams [TOR]                             0.016     0.032     ComparePrices[1] mteamtester[2] supernova01[2]
Vengeful Dreams [TOR]                              0.016     0.034     pisiiki3[1] ComparePrices[1]
False Memories [TOR]                               0.016     0.034     supernova02[1]
Possessed Nomad [TOR]                              0.016     0.034     supernova01[1] pisiiki2[1] bifidus[1] mteamtester[3]
Nantuko Blightcutter [TOR]                         0.018     0.036     ComparePrices[1]
Mortal Combat [TOR]                                0.018     0.036     pisiiki3[4]
Balthor the Stout [TOR]                            0.02      0.04      pisiiki3[1]
Possessed Aven [TOR]                               0.022
Shambling Swarm [TOR]                              0.022     0.044     pisiiki3[1]
